id,seller,dateTime,expires
1,seller_10,2024-01-01T10:31:23,2024-01-01T10:35:23
2,seller_20,2024-01-01T10:22:56,2024-01-01T10:30:56
3,seller_13,2024-01-01T10:52:19,2024-01-01T10:58:19
4,seller_38,2024-01-01T10:08:17,2024-01-01T10:18:17
5,seller_49,2024-01-01T10:26:13,2024-01-01T10:29:13
6,seller_41,2024-01-01T10:51:58,2024-01-01T10:53:58
7,seller_12,2024-01-01T10:37:16,2024-01-01T10:41:16
8,seller_18,2024-01-01T10:05:17,2024-01-01T10:13:17
9,seller_33,2024-01-01T10:48:53,2024-01-01T10:54:53
10,seller_15,2024-01-01T10:30:13,2024-01-01T10:39:13
11,seller_19,2024-01-01T10:40:03,2024-01-01T10:41:03
12,seller_34,2024-01-01T10:24:31,2024-01-01T10:28:31
13,seller_42,2024-01-01T10:43:29,2024-01-01T10:45:29
14,seller_48,2024-01-01T10:16:18,2024-01-01T10:22:18
15,seller_2,2024-01-01T10:49:15,2024-01-01T10:55:15
16,seller_18,2024-01-01T10:24:35,2024-01-01T10:33:35
17,seller_6,2024-01-01T10:43:36,2024-01-01T10:47:36
18,seller_39,2024-01-01T10:14:22,2024-01-01T10:20:22
19,seller_23,2024-01-01T10:18:50,2024-01-01T10:28:50
20,seller_2,2024-01-01T10:33:49,2024-01-01T10:43:49
21,seller_29,2024-01-01T10:07:48,2024-01-01T10:11:48
22,seller_8,2024-01-01T10:18:49,2024-01-01T10:20:49
23,seller_32,2024-01-01T10:02:36,2024-01-01T10:08:36
24,seller_26,2024-01-01T10:31:56,2024-01-01T10:40:56
25,seller_19,2024-01-01T10:39:39,2024-01-01T10:41:39
26,seller_10,2024-01-01T10:54:50,2024-01-01T11:03:50
27,seller_2,2024-01-01T10:46:31,2024-01-01T10:51:31
28,seller_26,2024-01-01T10:25:27,2024-01-01T10:34:27
29,seller_9,2024-01-01T10:57:59,2024-01-01T11:04:59
30,seller_43,2024-01-01T10:31:27,2024-01-01T10:38:27
31,seller_6,2024-01-01T10:45:30,2024-01-01T10:52:30
32,seller_4,2024-01-01T10:54:22,2024-01-01T11:04:22
33,seller_33,2024-01-01T10:10:57,2024-01-01T10:13:57
34,seller_32,2024-01-01T10:24:23,2024-01-01T10:31:23
35,seller_12,2024-01-01T10:23:27,2024-01-01T10:31:27
36,seller_29,2024-01-01T10:39:31,2024-01-01T10:45:31
37,seller_28,2024-01-01T10:27:32,2024-01-01T10:35:32
38,seller_50,2024-01-01T10:47:39,2024-01-01T10:51:39
39,seller_46,2024-01-01T10:00:39,2024-01-01T10:09:39
40,seller_32,2024-01-01T10:11:48,2024-01-01T10:14:48
41,seller_12,2024-01-01T10:45:27,2024-01-01T10:46:27
42,seller_19,2024-01-01T10:42:13,2024-01-01T10:47:13
43,seller_45,2024-01-01T10:15:13,2024-01-01T10:16:13
44,seller_19,2024-01-01T10:56:51,2024-01-01T11:06:51
45,seller_7,2024-01-01T10:00:48,2024-01-01T10:02:48
46,seller_4,2024-01-01T10:19:08,2024-01-01T10:26:08
47,seller_22,2024-01-01T10:30:46,2024-01-01T10:36:46
48,seller_37,2024-01-01T10:06:05,2024-01-01T10:13:05
49,seller_48,2024-01-01T10:22:44,2024-01-01T10:29:44
50,seller_36,2024-01-01T10:17:31,2024-01-01T10:23:31
51,seller_28,2024-01-01T10:11:50,2024-01-01T10:13:50
52,seller_4,2024-01-01T10:08:59,2024-01-01T10:16:59
53,seller_27,2024-01-01T10:35:15,2024-01-01T10:44:15
54,seller_28,2024-01-01T10:10:36,2024-01-01T10:16:36
55,seller_15,2024-01-01T10:07:38,2024-01-01T10:17:38
56,seller_36,2024-01-01T10:05:56,2024-01-01T10:07:56
57,seller_27,2024-01-01T10:56:26,2024-01-01T11:03:26
58,seller_6,2024-01-01T10:48:36,2024-01-01T10:51:36
59,seller_43,2024-01-01T10:53:13,2024-01-01T11:00:13
60,seller_18,2024-01-01T10:05:30,2024-01-01T10:12:30
61,seller_15,2024-01-01T10:51:17,2024-01-01T10:55:17
62,seller_50,2024-01-01T10:04:56,2024-01-01T10:10:56
63,seller_29,2024-01-01T10:42:02,2024-01-01T10:47:02
64,seller_42,2024-01-01T10:53:54,2024-01-01T10:58:54
65,seller_31,2024-01-01T10:40:51,2024-01-01T10:50:51
66,seller_16,2024-01-01T10:31:36,2024-01-01T10:41:36
67,seller_24,2024-01-01T10:36:50,2024-01-01T10:40:50
68,seller_40,2024-01-01T10:53:07,2024-01-01T10:54:07
69,seller_7,2024-01-01T10:27:06,2024-01-01T10:35:06
70,seller_31,2024-01-01T10:56:21,2024-01-01T11:05:21
71,seller_14,2024-01-01T10:59:25,2024-01-01T11:08:25
72,seller_39,2024-01-01T10:23:12,2024-01-01T10:30:12
73,seller_24,2024-01-01T10:54:37,2024-01-01T10:59:37
74,seller_48,2024-01-01T10:41:43,2024-01-01T10:51:43
75,seller_42,2024-01-01T10:39:42,2024-01-01T10:44:42
76,seller_30,2024-01-01T10:31:24,2024-01-01T10:32:24
77,seller_3,2024-01-01T10:01:47,2024-01-01T10:11:47
78,seller_36,2024-01-01T10:01:16,2024-01-01T10:08:16
79,seller_19,2024-01-01T10:15:06,2024-01-01T10:17:06
80,seller_37,2024-01-01T10:22:15,2024-01-01T10:27:15
81,seller_49,2024-01-01T10:39:21,2024-01-01T10:49:21
82,seller_4,2024-01-01T10:56:04,2024-01-01T10:57:04
83,seller_31,2024-01-01T10:34:39,2024-01-01T10:44:39
84,seller_13,2024-01-01T10:54:43,2024-01-01T10:59:43
85,seller_22,2024-01-01T10:22:22,2024-01-01T10:31:22
86,seller_45,2024-01-01T10:31:19,2024-01-01T10:33:19
87,seller_32,2024-01-01T10:16:26,2024-01-01T10:22:26
88,seller_18,2024-01-01T10:03:57,2024-01-01T10:06:57
89,seller_48,2024-01-01T10:38:13,2024-01-01T10:47:13
90,seller_23,2024-01-01T10:45:17,2024-01-01T10:49:17
91,seller_1,2024-01-01T10:51:00,2024-01-01T10:53:00
92,seller_36,2024-01-01T10:55:51,2024-01-01T10:59:51
93,seller_23,2024-01-01T10:32:05,2024-01-01T10:41:05
94,seller_45,2024-01-01T10:18:36,2024-01-01T10:27:36
95,seller_16,2024-01-01T10:34:38,2024-01-01T10:44:38
96,seller_50,2024-01-01T10:47:49,2024-01-01T10:52:49
97,seller_33,2024-01-01T10:38:00,2024-01-01T10:40:00
98,seller_46,2024-01-01T10:09:51,2024-01-01T10:17:51
99,seller_36,2024-01-01T10:20:01,2024-01-01T10:24:01
100,seller_11,2024-01-01T10:58:56,2024-01-01T11:02:56
101,seller_33,2024-01-01T10:25:22,2024-01-01T10:29:22
102,seller_31,2024-01-01T10:46:16,2024-01-01T10:50:16
103,seller_16,2024-01-01T10:52:24,2024-01-01T10:56:24
104,seller_19,2024-01-01T10:22:30,2024-01-01T10:26:30
105,seller_1,2024-01-01T10:39:25,2024-01-01T10:44:25
106,seller_30,2024-01-01T10:53:19,2024-01-01T10:57:19
107,seller_44,2024-01-01T10:39:49,2024-01-01T10:44:49
108,seller_7,2024-01-01T10:18:59,2024-01-01T10:21:59
109,seller_22,2024-01-01T10:43:01,2024-01-01T10:45:01
110,seller_44,2024-01-01T10:36:10,2024-01-01T10:42:10
111,seller_13,2024-01-01T10:49:46,2024-01-01T10:50:46
112,seller_13,2024-01-01T10:43:30,2024-01-01T10:44:30
113,seller_10,2024-01-01T10:21:39,2024-01-01T10:25:39
114,seller_40,2024-01-01T10:56:32,2024-01-01T11:01:32
115,seller_29,2024-01-01T10:46:50,2024-01-01T10:53:50
116,seller_32,2024-01-01T10:40:04,2024-01-01T10:48:04
117,seller_20,2024-01-01T10:53:35,2024-01-01T11:01:35
118,seller_41,2024-01-01T10:36:31,2024-01-01T10:41:31
119,seller_37,2024-01-01T10:04:57,2024-01-01T10:06:57
120,seller_13,2024-01-01T10:31:44,2024-01-01T10:32:44
121,seller_37,2024-01-01T10:40:30,2024-01-01T10:48:30
122,seller_48,2024-01-01T10:47:35,2024-01-01T10:57:35
123,seller_29,2024-01-01T10:01:50,2024-01-01T10:11:50
124,seller_13,2024-01-01T10:21:50,2024-01-01T10:25:50
125,seller_45,2024-01-01T10:49:57,2024-01-01T10:50:57
126,seller_4,2024-01-01T10:41:30,2024-01-01T10:46:30
127,seller_19,2024-01-01T10:19:05,2024-01-01T10:28:05
128,seller_1,2024-01-01T10:15:36,2024-01-01T10:19:36
129,seller_38,2024-01-01T10:46:29,2024-01-01T10:56:29
130,seller_7,2024-01-01T10:27:35,2024-01-01T10:34:35
131,seller_49,2024-01-01T10:22:41,2024-01-01T10:32:41
132,seller_32,2024-01-01T10:28:30,2024-01-01T10:32:30
133,seller_22,2024-01-01T10:02:23,2024-01-01T10:09:23
134,seller_39,2024-01-01T10:52:30,2024-01-01T10:55:30
135,seller_20,2024-01-01T10:11:39,2024-01-01T10:16:39
136,seller_5,2024-01-01T10:50:17,2024-01-01T10:51:17
137,seller_22,2024-01-01T10:04:53,2024-01-01T10:12:53
138,seller_10,2024-01-01T10:59:37,2024-01-01T11:09:37
139,seller_30,2024-01-01T10:09:03,2024-01-01T10:17:03
140,seller_10,2024-01-01T10:53:19,2024-01-01T10:58:19
141,seller_18,2024-01-01T10:12:59,2024-01-01T10:16:59
142,seller_7,2024-01-01T10:34:41,2024-01-01T10:41:41
143,seller_9,2024-01-01T10:10:39,2024-01-01T10:15:39
144,seller_35,2024-01-01T10:37:45,2024-01-01T10:41:45
145,seller_21,2024-01-01T10:06:51,2024-01-01T10:13:51
146,seller_25,2024-01-01T10:12:37,2024-01-01T10:20:37
147,seller_38,2024-01-01T10:00:14,2024-01-01T10:08:14
148,seller_49,2024-01-01T10:00:27,2024-01-01T10:07:27
149,seller_9,2024-01-01T10:55:06,2024-01-01T10:59:06
150,seller_28,2024-01-01T10:28:37,2024-01-01T10:33:37
151,seller_46,2024-01-01T10:06:07,2024-01-01T10:16:07
152,seller_8,2024-01-01T10:16:53,2024-01-01T10:19:53
153,seller_28,2024-01-01T10:09:22,2024-01-01T10:10:22
154,seller_36,2024-01-01T10:21:52,2024-01-01T10:31:52
155,seller_31,2024-01-01T10:14:28,2024-01-01T10:23:28
156,seller_49,2024-01-01T10:06:08,2024-01-01T10:14:08
157,seller_39,2024-01-01T10:04:59,2024-01-01T10:08:59
158,seller_48,2024-01-01T10:20:01,2024-01-01T10:21:01
159,seller_38,2024-01-01T10:06:43,2024-01-01T10:08:43
160,seller_24,2024-01-01T10:20:33,2024-01-01T10:22:33
161,seller_14,2024-01-01T10:10:39,2024-01-01T10:11:39
162,seller_25,2024-01-01T10:17:23,2024-01-01T10:23:23
163,seller_39,2024-01-01T10:19:32,2024-01-01T10:23:32
164,seller_23,2024-01-01T10:47:50,2024-01-01T10:53:50
165,seller_32,2024-01-01T10:39:26,2024-01-01T10:47:26
166,seller_39,2024-01-01T10:33:36,2024-01-01T10:43:36
167,seller_47,2024-01-01T10:53:43,2024-01-01T10:58:43
168,seller_11,2024-01-01T10:24:50,2024-01-01T10:26:50
169,seller_20,2024-01-01T10:25:13,2024-01-01T10:33:13
170,seller_23,2024-01-01T10:41:39,2024-01-01T10:51:39
171,seller_28,2024-01-01T10:23:53,2024-01-01T10:24:53
172,seller_10,2024-01-01T10:59:15,2024-01-01T11:04:15
173,seller_27,2024-01-01T10:21:50,2024-01-01T10:30:50
174,seller_31,2024-01-01T10:30:12,2024-01-01T10:37:12
175,seller_14,2024-01-01T10:16:02,2024-01-01T10:24:02
176,seller_17,2024-01-01T10:37:37,2024-01-01T10:47:37
177,seller_42,2024-01-01T10:08:22,2024-01-01T10:12:22
178,seller_11,2024-01-01T10:52:14,2024-01-01T10:57:14
179,seller_9,2024-01-01T10:18:26,2024-01-01T10:24:26
180,seller_26,2024-01-01T10:53:26,2024-01-01T10:56:26
181,seller_34,2024-01-01T10:40:26,2024-01-01T10:43:26
182,seller_40,2024-01-01T10:44:29,2024-01-01T10:49:29
183,seller_6,2024-01-01T10:40:42,2024-01-01T10:50:42
184,seller_48,2024-01-01T10:44:15,2024-01-01T10:45:15
185,seller_42,2024-01-01T10:04:15,2024-01-01T10:07:15
186,seller_1,2024-01-01T10:25:28,2024-01-01T10:28:28
187,seller_44,2024-01-01T10:08:45,2024-01-01T10:15:45
188,seller_12,2024-01-01T10:20:40,2024-01-01T10:29:40
189,seller_21,2024-01-01T10:40:17,2024-01-01T10:48:17
190,seller_4,2024-01-01T10:21:01,2024-01-01T10:23:01
191,seller_37,2024-01-01T10:41:03,2024-01-01T10:45:03
192,seller_44,2024-01-01T10:28:12,2024-01-01T10:35:12
193,seller_21,2024-01-01T10:40:26,2024-01-01T10:41:26
194,seller_48,2024-01-01T10:10:48,2024-01-01T10:13:48
195,seller_33,2024-01-01T10:36:50,2024-01-01T10:38:50
196,seller_33,2024-01-01T10:11:43,2024-01-01T10:19:43
197,seller_16,2024-01-01T10:08:22,2024-01-01T10:10:22
198,seller_4,2024-01-01T10:51:19,2024-01-01T10:57:19
199,seller_48,2024-01-01T10:20:20,2024-01-01T10:24:20
200,seller_18,2024-01-01T10:47:28,2024-01-01T10:51:28
201,seller_31,2024-01-01T10:11:46,2024-01-01T10:14:46
202,seller_42,2024-01-01T10:23:30,2024-01-01T10:28:30
203,seller_18,2024-01-01T10:46:21,2024-01-01T10:55:21
204,seller_3,2024-01-01T10:48:08,2024-01-01T10:52:08
205,seller_47,2024-01-01T10:31:59,2024-01-01T10:36:59
206,seller_37,2024-01-01T10:57:35,2024-01-01T11:00:35
207,seller_9,2024-01-01T10:36:34,2024-01-01T10:37:34
208,seller_1,2024-01-01T10:40:47,2024-01-01T10:46:47
209,seller_49,2024-01-01T10:02:27,2024-01-01T10:04:27
210,seller_8,2024-01-01T10:26:11,2024-01-01T10:34:11
211,seller_13,2024-01-01T10:55:11,2024-01-01T11:03:11
212,seller_23,2024-01-01T10:14:52,2024-01-01T10:22:52
213,seller_25,2024-01-01T10:43:59,2024-01-01T10:52:59
214,seller_40,2024-01-01T10:57:03,2024-01-01T11:04:03
215,seller_2,2024-01-01T10:55:35,2024-01-01T11:02:35
216,seller_27,2024-01-01T10:42:24,2024-01-01T10:51:24
217,seller_40,2024-01-01T10:03:31,2024-01-01T10:09:31
218,seller_21,2024-01-01T10:26:42,2024-01-01T10:36:42
219,seller_13,2024-01-01T10:56:59,2024-01-01T11:01:59
220,seller_34,2024-01-01T10:11:17,2024-01-01T10:15:17
221,seller_21,2024-01-01T10:48:18,2024-01-01T10:55:18
222,seller_18,2024-01-01T10:11:16,2024-01-01T10:13:16
223,seller_23,2024-01-01T10:33:28,2024-01-01T10:43:28
224,seller_25,2024-01-01T10:05:56,2024-01-01T10:14:56
225,seller_41,2024-01-01T10:57:39,2024-01-01T11:00:39
226,seller_39,2024-01-01T10:52:39,2024-01-01T11:00:39
227,seller_47,2024-01-01T10:33:12,2024-01-01T10:35:12
228,seller_13,2024-01-01T10:50:44,2024-01-01T10:58:44
229,seller_38,2024-01-01T10:59:01,2024-01-01T11:03:01
230,seller_6,2024-01-01T10:40:07,2024-01-01T10:43:07
231,seller_1,2024-01-01T10:36:00,2024-01-01T10:41:00
232,seller_14,2024-01-01T10:53:16,2024-01-01T10:54:16
233,seller_15,2024-01-01T10:44:14,2024-01-01T10:52:14
234,seller_32,2024-01-01T10:38:11,2024-01-01T10:47:11
235,seller_9,2024-01-01T10:58:28,2024-01-01T11:01:28
236,seller_12,2024-01-01T10:35:30,2024-01-01T10:40:30
237,seller_26,2024-01-01T10:37:42,2024-01-01T10:44:42
238,seller_50,2024-01-01T10:29:06,2024-01-01T10:39:06
239,seller_35,2024-01-01T10:08:35,2024-01-01T10:12:35
240,seller_21,2024-01-01T10:36:54,2024-01-01T10:38:54
241,seller_40,2024-01-01T10:08:12,2024-01-01T10:10:12
242,seller_35,2024-01-01T10:03:54,2024-01-01T10:05:54
243,seller_39,2024-01-01T10:54:57,2024-01-01T11:04:57
244,seller_41,2024-01-01T10:58:21,2024-01-01T11:04:21
245,seller_30,2024-01-01T10:03:03,2024-01-01T10:06:03
246,seller_33,2024-01-01T10:04:49,2024-01-01T10:14:49
247,seller_43,2024-01-01T10:13:05,2024-01-01T10:14:05
248,seller_32,2024-01-01T10:55:28,2024-01-01T11:02:28
249,seller_9,2024-01-01T10:25:36,2024-01-01T10:32:36
250,seller_49,2024-01-01T10:34:32,2024-01-01T10:42:32
251,seller_34,2024-01-01T10:21:02,2024-01-01T10:22:02
252,seller_4,2024-01-01T10:11:13,2024-01-01T10:19:13
253,seller_36,2024-01-01T10:30:24,2024-01-01T10:34:24
254,seller_10,2024-01-01T10:57:16,2024-01-01T11:02:16
255,seller_42,2024-01-01T10:27:25,2024-01-01T10:32:25
256,seller_24,2024-01-01T10:47:05,2024-01-01T10:54:05
257,seller_10,2024-01-01T10:08:44,2024-01-01T10:16:44
258,seller_15,2024-01-01T10:47:49,2024-01-01T10:57:49
259,seller_15,2024-01-01T10:49:38,2024-01-01T10:54:38
260,seller_9,2024-01-01T10:42:52,2024-01-01T10:52:52
261,seller_18,2024-01-01T10:28:10,2024-01-01T10:35:10
262,seller_11,2024-01-01T10:48:58,2024-01-01T10:54:58
263,seller_39,2024-01-01T10:21:21,2024-01-01T10:24:21
264,seller_36,2024-01-01T10:36:40,2024-01-01T10:46:40
265,seller_24,2024-01-01T10:02:36,2024-01-01T10:07:36
266,seller_40,2024-01-01T10:51:56,2024-01-01T11:00:56
267,seller_19,2024-01-01T10:07:47,2024-01-01T10:16:47
268,seller_29,2024-01-01T10:38:56,2024-01-01T10:44:56
269,seller_27,2024-01-01T10:03:30,2024-01-01T10:05:30
270,seller_18,2024-01-01T10:50:40,2024-01-01T10:59:40
271,seller_7,2024-01-01T10:06:11,2024-01-01T10:11:11
272,seller_50,2024-01-01T10:48:04,2024-01-01T10:50:04
273,seller_13,2024-01-01T10:38:24,2024-01-01T10:41:24
274,seller_46,2024-01-01T10:00:00,2024-01-01T10:05:00
275,seller_23,2024-01-01T10:09:58,2024-01-01T10:11:58
276,seller_17,2024-01-01T10:14:33,2024-01-01T10:19:33
277,seller_29,2024-01-01T10:31:00,2024-01-01T10:41:00
278,seller_28,2024-01-01T10:26:37,2024-01-01T10:28:37
279,seller_47,2024-01-01T10:27:01,2024-01-01T10:30:01
280,seller_34,2024-01-01T10:49:08,2024-01-01T10:56:08
281,seller_15,2024-01-01T10:48:12,2024-01-01T10:54:12
282,seller_4,2024-01-01T10:45:54,2024-01-01T10:46:54
283,seller_4,2024-01-01T10:30:03,2024-01-01T10:34:03
284,seller_44,2024-01-01T10:05:02,2024-01-01T10:07:02
285,seller_33,2024-01-01T10:18:51,2024-01-01T10:25:51
286,seller_48,2024-01-01T10:39:38,2024-01-01T10:41:38
287,seller_35,2024-01-01T10:34:08,2024-01-01T10:41:08
288,seller_46,2024-01-01T10:04:00,2024-01-01T10:14:00
289,seller_14,2024-01-01T10:53:04,2024-01-01T10:55:04
290,seller_46,2024-01-01T10:36:16,2024-01-01T10:37:16
291,seller_47,2024-01-01T10:22:40,2024-01-01T10:24:40
292,seller_43,2024-01-01T10:54:28,2024-01-01T10:59:28
293,seller_32,2024-01-01T10:49:36,2024-01-01T10:56:36
294,seller_5,2024-01-01T10:02:00,2024-01-01T10:07:00
295,seller_43,2024-01-01T10:57:14,2024-01-01T11:06:14
296,seller_44,2024-01-01T10:34:03,2024-01-01T10:38:03
297,seller_42,2024-01-01T10:08:58,2024-01-01T10:18:58
298,seller_41,2024-01-01T10:00:14,2024-01-01T10:01:14
299,seller_10,2024-01-01T10:53:29,2024-01-01T10:56:29
300,seller_47,2024-01-01T10:50:01,2024-01-01T10:57:01
301,seller_2,2024-01-01T10:40:21,2024-01-01T10:49:21
302,seller_9,2024-01-01T10:45:46,2024-01-01T10:46:46
303,seller_2,2024-01-01T10:19:39,2024-01-01T10:23:39
304,seller_23,2024-01-01T10:42:57,2024-01-01T10:45:57
305,seller_43,2024-01-01T10:00:35,2024-01-01T10:08:35
306,seller_14,2024-01-01T10:38:47,2024-01-01T10:48:47
307,seller_15,2024-01-01T10:48:09,2024-01-01T10:54:09
308,seller_44,2024-01-01T10:26:21,2024-01-01T10:32:21
309,seller_5,2024-01-01T10:22:25,2024-01-01T10:26:25
310,seller_38,2024-01-01T10:42:46,2024-01-01T10:44:46
311,seller_16,2024-01-01T10:08:17,2024-01-01T10:11:17
312,seller_8,2024-01-01T10:54:47,2024-01-01T10:57:47
313,seller_20,2024-01-01T10:19:08,2024-01-01T10:22:08
314,seller_13,2024-01-01T10:51:58,2024-01-01T10:55:58
315,seller_31,2024-01-01T10:04:45,2024-01-01T10:06:45
316,seller_45,2024-01-01T10:00:43,2024-01-01T10:03:43
317,seller_34,2024-01-01T10:23:05,2024-01-01T10:32:05
318,seller_44,2024-01-01T10:43:31,2024-01-01T10:53:31
319,seller_9,2024-01-01T10:27:47,2024-01-01T10:30:47
320,seller_8,2024-01-01T10:18:29,2024-01-01T10:23:29
321,seller_39,2024-01-01T10:52:13,2024-01-01T10:55:13
322,seller_35,2024-01-01T10:02:01,2024-01-01T10:07:01
323,seller_35,2024-01-01T10:44:50,2024-01-01T10:50:50
324,seller_23,2024-01-01T10:04:46,2024-01-01T10:05:46
325,seller_36,2024-01-01T10:47:00,2024-01-01T10:53:00
326,seller_5,2024-01-01T10:25:46,2024-01-01T10:26:46
327,seller_42,2024-01-01T10:10:38,2024-01-01T10:19:38
328,seller_25,2024-01-01T10:46:02,2024-01-01T10:51:02
329,seller_48,2024-01-01T10:27:27,2024-01-01T10:36:27
330,seller_36,2024-01-01T10:45:28,2024-01-01T10:54:28
331,seller_18,2024-01-01T10:54:28,2024-01-01T11:03:28
332,seller_18,2024-01-01T10:57:27,2024-01-01T11:05:27
333,seller_22,2024-01-01T10:12:14,2024-01-01T10:21:14
334,seller_42,2024-01-01T10:14:36,2024-01-01T10:19:36
335,seller_12,2024-01-01T10:44:27,2024-01-01T10:51:27
336,seller_8,2024-01-01T10:18:47,2024-01-01T10:21:47
337,seller_21,2024-01-01T10:53:06,2024-01-01T10:56:06
338,seller_40,2024-01-01T10:27:53,2024-01-01T10:28:53
339,seller_21,2024-01-01T10:09:27,2024-01-01T10:14:27
340,seller_15,2024-01-01T10:57:08,2024-01-01T11:07:08
341,seller_37,2024-01-01T10:04:41,2024-01-01T10:11:41
342,seller_37,2024-01-01T10:01:52,2024-01-01T10:06:52
343,seller_43,2024-01-01T10:15:07,2024-01-01T10:25:07
344,seller_26,2024-01-01T10:16:29,2024-01-01T10:18:29
345,seller_26,2024-01-01T10:02:17,2024-01-01T10:05:17
346,seller_8,2024-01-01T10:52:47,2024-01-01T10:54:47
347,seller_1,2024-01-01T10:06:32,2024-01-01T10:15:32
348,seller_18,2024-01-01T10:48:52,2024-01-01T10:58:52
349,seller_26,2024-01-01T10:18:43,2024-01-01T10:19:43
350,seller_27,2024-01-01T10:18:05,2024-01-01T10:26:05
351,seller_20,2024-01-01T10:00:25,2024-01-01T10:09:25
352,seller_17,2024-01-01T10:42:13,2024-01-01T10:43:13
353,seller_33,2024-01-01T10:15:45,2024-01-01T10:23:45
354,seller_18,2024-01-01T10:23:00,2024-01-01T10:31:00
355,seller_7,2024-01-01T10:30:09,2024-01-01T10:34:09
356,seller_11,2024-01-01T10:28:28,2024-01-01T10:38:28
357,seller_20,2024-01-01T10:04:53,2024-01-01T10:09:53
358,seller_45,2024-01-01T10:24:57,2024-01-01T10:31:57
359,seller_25,2024-01-01T10:22:25,2024-01-01T10:26:25
