auction,bidder,price,channel,url,dateTime,extra,rank_number
1,72043,5602,baidu,http://iosapps.com/?utm=apple,2025-04-13 01:28:04,extra8,2
2,36052,9571,baidu,http://social.com?src=fb,2025-04-13 01:28:04,extra2,16
3,90267,4702,Apple,http://baidu.cn/search?q=test,2025-04-13 01:28:04,extra9,5
4,68757,2584,baidu,http://baidu.cn/search?q=test,2025-04-13 01:28:04,extra2,6
5,97243,9616,Apple,http://apple.com/ad?campaign=123,2025-04-13 01:28:04,extra3,5
6,10485,7906,google,http://social.com?src=fb,2025-04-13 01:28:04,extra4,10
7,83788,1022,google,http://google.com/track,2025-04-13 01:28:04,extra7,10
8,83270,5316,google,http://social.com?src=fb,2025-04-13 01:28:04,extra8,3
9,24241,8411,FaceBook,http://fb.com/ad,2025-04-13 01:28:04,extra5,6
10,20754,5564,aPpLe,http://iosapps.com/?utm=apple,2025-04-13 01:28:04,extra4,2
11,29762,9296,FaceBook,http://google.com/track,2025-04-13 01:28:04,extra1,8
12,20590,9474,Apple,http://google.com/track,2025-04-13 01:28:04,extra9,4
13,51091,7269,FaceBook,http://social.com?src=fb,2025-04-13 01:28:04,extra4,16
14,84754,1776,google,http://apple.com/ad?campaign=123,2025-04-13 01:28:04,extra9,15
15,28352,8002,google,http://iosapps.com/?utm=apple,2025-04-13 01:28:04,extra5,9
16,11295,6301,Apple,http://iosapps.com/?utm=apple,2025-04-13 01:28:04,extra7,20
17,90863,1214,Apple,http://google.com/track,2025-04-13 01:28:04,extra7,19
18,67883,4941,baidu,http://iosapps.com/?utm=apple,2025-04-13 01:28:04,extra8,8
19,29425,1737,baidu,http://apple.com/ad?campaign=123,2025-04-13 01:28:04,extra7,2
20,78765,1525,aPpLe,http://fb.com/ad,2025-04-13 01:28:04,extra5,3
21,86715,6821,Apple,http://baidu.cn/search?q=test,2025-04-13 01:28:04,extra4,11
22,66993,4925,google,http://iosapps.com/?utm=apple,2025-04-13 01:28:04,extra3,12
23,89798,2894,baidu,http://baidu.cn/search?q=test,2025-04-13 01:28:04,extra2,9
24,34098,2247,baidu,http://iosapps.com/?utm=apple,2025-04-13 01:28:04,extra9,15
25,14101,6557,Apple,http://baidu.cn/search?q=test,2025-04-13 01:28:04,extra8,13
26,58182,7126,google,http://baidu.cn/search?q=test,2025-04-13 01:28:04,extra3,15
