| +I |                    1 |                90174 |                 5670 |                       FaceBook |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra6 |                         Item A |                  Description D |                 6225 |                 4073 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2622 |                   25 |                 auction_extra2 |
| +I |                    2 |                12649 |                 1989 |                       facebook |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                        extra10 |                         Item D |                  Description E |                 2737 |                 3751 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 8700 |                   15 |                 auction_extra4 |
| +I |                    3 |                68305 |                 5115 |                          aPpLe | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra5 |                         Item D |                  Description D |                 6887 |                 5641 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 9327 |                   10 |                 auction_extra7 |
| +I |                    4 |                82302 |                 8445 |                       FaceBook |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra2 |                         Item C |                  Description D |                 6721 |                 6489 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7821 |                    5 |                 auction_extra9 |
| +I |                    5 |                69820 |                 7670 |                         google |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra8 |                         Item E |                  Description E |                 2651 |                 6819 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 5514 |                   20 |                 auction_extra8 |
| +I |                    6 |                10279 |                 3133 |                         google |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra6 |                         Item C |                  Description E |                 2324 |                 5078 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1479 |                   10 |                 auction_extra7 |
| +I |                    7 |                82780 |                 9295 |                          aPpLe |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra6 |                         Item A |                  Description C |                 2093 |                 5543 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7846 |                   15 |                 auction_extra7 |
| +I |                    8 |                99679 |                 6972 |                          baidu |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra9 |                         Item E |                  Description A |                 2735 |                 2214 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2292 |                   10 |                 auction_extra4 |
| +I |                    9 |                23723 |                 6692 |                       FaceBook |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra2 |                         Item E |                  Description C |                 5745 |                 3677 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6642 |                   20 |                 auction_extra9 |
| +I |                   10 |                28081 |                 6865 |                          aPpLe |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra9 |                         Item C |                  Description A |                 3518 |                 2150 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2055 |                    5 |                 auction_extra6 |
| +I |                   11 |                40523 |                 7455 |                       FaceBook |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra3 |                         Item D |                  Description D |                 7475 |                 2768 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1939 |                   10 |                 auction_extra5 |
| +I |                   12 |                76326 |                 8782 |                       FaceBook |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra2 |                         Item B |                  Description E |                 2638 |                 4197 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 8431 |                    5 |                 auction_extra9 |
| +I |                   13 |                49505 |                 9972 |                          Apple |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra5 |                         Item C |                  Description B |                 5202 |                 4572 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6435 |                   15 |                 auction_extra3 |
| +I |                   14 |                33417 |                 7300 |                          baidu |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra1 |                         Item D |                  Description A |                 5389 |                 5545 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 8158 |                   20 |                 auction_extra1 |
| +I |                   15 |                18322 |                 5151 |                          aPpLe |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra2 |                         Item C |                  Description E |                 3228 |                 3537 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 9960 |                   15 |                 auction_extra3 |
| +I |                   16 |                18418 |                 4486 |                          baidu |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra8 |                         Item A |                  Description A |                 3396 |                 4724 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4408 |                    5 |                 auction_extra5 |
| +I |                   17 |                35575 |                 4139 |                         google | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra5 |                         Item C |                  Description A |                 4140 |                 3200 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7933 |                   15 |                 auction_extra1 |
