| +I |                    9 |                 4061 |
| +I |                    7 |                 2296 |
| +I |                    1 |                 1852 |
| +I |                    3 |                 4917 |
| +I |                    6 |                 3155 |
| +I |                   10 |                 1081 |
| -U |                    1 |                 1852 |
| +U |                    1 |                 2252 |
| +I |                    2 |                 1080 |
| +I |                    8 |                 3652 |
| +I |                    5 |                 3867 |
| -D |                    2 |                 1080 |
| +I |                    2 |                 3279 |
| -U |                    2 |                 3279 |
| +U |                    2 |                 3727 |
| -D |                    9 |                 4061 |
| +I |                    9 |                 4928 |
| -U |                    2 |                 3727 |
| +U |                    2 |                 4175 |
| -U |                    2 |                 4175 |
| +U |                    2 |                 3889 |
| -U |                    2 |                 3889 |
| +U |                    2 |                 3914 |
| -U |                   10 |                 1081 |
| +U |                   10 |                  995 |
| -U |                    1 |                 2252 |
| +U |                    1 |                 2652 |
| -U |                    1 |                 2652 |
| +U |                    1 |                 3448 |
| -U |                    9 |                 4928 |
| +U |                    9 |                 4508 |
| -U |                    9 |                 4508 |
| +U |                    9 |                 3424 |
| -U |                    1 |                 3448 |
| +U |                    1 |                 4245 |
| -U |                    1 |                 4245 |
| +U |                    1 |                 3884 |
| -U |                    6 |                 3155 |
| +U |                    6 |                 3513 |
| -U |                    6 |                 3513 |
| +U |                    6 |                 3872 |
| -U |                    6 |                 3872 |
| +U |                    6 |                 3763 |
| -D |                    8 |                 3652 |
| +I |                    8 |                 3826 |
| +I |                    4 |                 4722 |
| -U |                   10 |                  995 |
| +U |                   10 |                  910 |
| -U |                   10 |                  910 |
| +U |                   10 |                 1625 |
| -U |                    2 |                 3914 |
| +U |                    2 |                 4070 |
| -U |                    2 |                 4070 |
| +U |                    2 |                 4177 |
| -D |                    8 |                 3826 |
| +I |                    8 |                 3995 |
| -U |                   10 |                 1625 |
| +U |                   10 |                  910 |
| -U |                   10 |                  910 |
| +U |                   10 |                 2080 |
| -D |                    7 |                 2296 |
| +I |                    7 |                 4909 |
| -U |                   10 |                 2080 |
| +U |                   10 |                 3251 |
| -U |                   10 |                 3251 |
| +U |                   10 |                 2551 |
| -U |                    1 |                 3884 |
| +U |                    1 |                 4245 |
| -U |                    1 |                 4245 |
| +U |                    1 |                 3986 |
| -U |                    4 |                 4722 |
| +U |                    4 |                 3028 |
| -U |                    2 |                 4177 |
| +U |                    2 |                 4070 |
| -U |                    2 |                 4070 |
| +U |                    2 |                 4334 |
| -U |                    6 |                 3763 |
| +U |                    6 |                 3872 |
| -U |                    6 |                 3872 |
| +U |                    6 |                 4390 |
| -U |                    4 |                 3028 |
| +U |                    4 |                 4722 |
| -U |                    4 |                 4722 |
| +U |                    4 |                 3931 |
| -U |                    2 |                 4334 |
| +U |                    2 |                 4519 |
| -U |                    2 |                 4519 |
| +U |                    2 |                 4448 |
